Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/10,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,8,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/10,11,34,35,0.0,0.0,0.0,0.463768115942029,0.463768115942029,NaN
P10,2022/10/10,12,31,33,0.0,0.0,0.0,0.765625,0.15625,NaN
P10,2022/10/10,13,32,28,0.0,0.0,0.0,0.6166666666666667,0.23333333333333334,NaN
P10,2022/10/10,14,18,15,0.0,0.0,0.0,0.6363636363636364,0.2727272727272727,NaN
P10,2022/10/10,15,12,30,0.0,0.0,0.0,0.5476190476190477,0.3333333333333333,NaN
P10,2022/10/10,16,12,41,0.0,0.0,0.0,0.6792452830188679,0.1509433962264151,NaN
P10,2022/10/10,17,3,87,0.0,0.0,0.0,0.7333333333333333,0.03333333333333333,NaN
P10,2022/10/10,18,3,36,0.0,0.0,0.0,0.6923076923076923,0.07692307692307693,NaN
P10,2022/10/10,19,5,17,0.0,0.0,0.0,0.5909090909090909,0.09090909090909091,NaN
P10,2022/10/10,20,2,4,0.0,0.0,0.0,0.5,0.16666666666666666,NaN
P10,2022/10/10,21,2,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/10,22,0,2,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/10,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/11,6,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/11,7,14,7,0.0,0.0,0.0,0.7619047619047619,0.19047619047619047,NaN
P10,2022/10/11,8,75,8,0.0,0.0,0.0,0.6024096385542169,0.20481927710843373,NaN
P10,2022/10/11,9,68,14,0.0,0.0,0.0,0.5121951219512195,0.25609756097560976,NaN
P10,2022/10/11,10,12,7,0.0,0.0,0.0,0.7368421052631579,0.2631578947368421,NaN
P10,2022/10/11,11,42,31,0.0,0.0,0.0,0.3287671232876712,0.5616438356164384,NaN
P10,2022/10/11,12,46,56,0.0,0.0,0.0,0.5882352941176471,0.24509803921568626,NaN
P10,2022/10/11,13,27,25,0.0,0.0,0.0,0.5769230769230769,0.17307692307692307,NaN
P10,2022/10/11,14,30,17,0.0,0.0,0.0,0.7446808510638298,0.14893617021276595,NaN
P10,2022/10/11,15,13,27,0.0,0.0,0.0,0.65,0.325,NaN
P10,2022/10/11,16,11,48,0.0,0.0,0.0,0.7627118644067796,0.1864406779661017,NaN
P10,2022/10/11,17,6,60,0.0,0.0,0.0,0.6515151515151515,0.07575757575757576,NaN
P10,2022/10/11,18,10,42,0.0,0.0,0.0,0.6153846153846154,0.09615384615384616,NaN
P10,2022/10/11,19,8,20,0.0,0.0,0.0,0.7857142857142857,0.03571428571428571,NaN
P10,2022/10/11,20,1,5,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/11,21,0,11,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/11,22,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/11,23,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/12,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/12,6,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/12,7,17,2,0.0,0.0,0.0,0.6842105263157895,0.21052631578947367,NaN
P10,2022/10/12,8,63,12,0.0,0.0,0.0,0.6,0.21333333333333335,NaN
P10,2022/10/12,9,55,10,0.046153846153846156,0.0,0.0,0.5076923076923077,0.18461538461538463,NaN
P10,2022/10/12,10,19,7,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,NaN
P10,2022/10/12,11,44,41,0.0,0.0,0.0,0.4235294117647059,0.4470588235294118,NaN
P10,2022/10/12,12,41,34,0.0,0.0,0.0,0.6,0.24,NaN
P10,2022/10/12,13,20,38,0.0,0.0,0.0,0.5517241379310345,0.27586206896551724,NaN
P10,2022/10/12,14,15,14,0.0,0.0,0.0,0.5517241379310345,0.3103448275862069,NaN
P10,2022/10/12,15,10,31,0.0,0.0,0.0,0.4634146341463415,0.4634146341463415,NaN
P10,2022/10/12,16,3,28,0.03225806451612903,0.0,0.0,0.6129032258064516,0.22580645161290322,NaN
P10,2022/10/12,17,3,40,0.0,0.0,0.0,0.5581395348837209,0.046511627906976744,NaN
P10,2022/10/12,18,7,39,0.0,0.0,0.0,0.6304347826086957,0.06521739130434782,NaN
P10,2022/10/12,19,6,17,0.0,0.0,0.0,0.6086956521739131,0.17391304347826086,NaN
P10,2022/10/12,20,0,4,0.0,0.0,0.0,0.75,0.0,NaN
P10,2022/10/12,21,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/12,22,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/12,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,6,1,1,0.0,0.0,0.0,0.5,0.5,NaN
P10,2022/10/13,7,19,4,0.0,0.0,0.0,0.6086956521739131,0.2608695652173913,NaN
P10,2022/10/13,8,88,16,0.0,0.0,0.0,0.5480769230769231,0.21153846153846154,NaN
P10,2022/10/13,9,65,19,0.0,0.0,0.0,0.6309523809523809,0.19047619047619047,NaN
P10,2022/10/13,10,26,11,0.0,0.0,0.0,0.43243243243243246,0.32432432432432434,NaN
P10,2022/10/13,11,33,34,0.0,0.0,0.0,0.31343283582089554,0.5970149253731343,NaN
P10,2022/10/13,12,30,45,0.0,0.0,0.0,0.6533333333333333,0.22666666666666666,NaN
P10,2022/10/13,13,20,32,0.0,0.0,0.0,0.7884615384615384,0.11538461538461539,NaN
P10,2022/10/13,14,15,16,0.0,0.0,0.0,0.5161290322580645,0.3225806451612903,NaN
P10,2022/10/13,15,9,21,0.0,0.0,0.0,0.43333333333333335,0.43333333333333335,NaN
P10,2022/10/13,16,7,40,0.0,0.0,0.0,0.5957446808510638,0.19148936170212766,NaN
P10,2022/10/13,17,4,51,0.0,0.0,0.0,0.6,0.05454545454545454,NaN
P10,2022/10/13,18,4,30,0.0,0.0,0.0,0.5588235294117647,0.058823529411764705,NaN
P10,2022/10/13,19,3,14,0.0,0.0,0.0,0.8235294117647058,0.0,NaN
P10,2022/10/13,20,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/13,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/13,22,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/13,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,6,3,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,NaN
P10,2022/10/14,7,13,5,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,NaN
P10,2022/10/14,8,50,11,0.0,0.0,0.0,0.47540983606557374,0.29508196721311475,NaN
P10,2022/10/14,9,64,15,0.0,0.0,0.0,0.4430379746835443,0.2911392405063291,NaN
P10,2022/10/14,10,26,15,0.0,0.0,0.0,0.7073170731707317,0.14634146341463414,NaN
P10,2022/10/14,11,26,31,0.0,0.0,0.0,0.3684210526315789,0.5614035087719298,NaN
P10,2022/10/14,12,32,33,0.0,0.0,0.0,0.6,0.2,NaN
P10,2022/10/14,13,23,26,0.0,0.0,0.0,0.6938775510204082,0.10204081632653061,NaN
P10,2022/10/14,14,18,23,0.0,0.0,0.0,0.4146341463414634,0.4146341463414634,NaN
